name,specialty,city,area,stars,reviews,address,phone,phone_source,website,latitude,longitude,distance_km,maps_url
"Dr. Rahul Gaikwad-MBBS MD MEDICINE|Best Diabetologist,Physician Cardiologist,Thyroid Specialist In Moshi,Chikhali,Alandi Pcmc",general physician,Chikhali,,4.9,269,"Suman Multispecialty Hospital and ICU, Plot No. 125, Near Spine Rd , Gold Gym Chowk, Moshi Chikhali Pradhikaran, Moshi High Street Link Rd, near MNGL CNG Pump, Sector 13, Chikhali, Pimpri-Chinchwad, Maharashtra 411019",080 4807 4535,google_maps,http://www.drrahulgaikwad.com/,18.6617403,73.8284289,N/A,"https://www.google.com/maps/place/Dr.+Rahul+Gaikwad-MBBS+MD+MEDICINE%7CBest+Diabetologist,Physician+Cardiologist,Thyroid+Specialist+In+Moshi,Chikhali,Alandi+Pcmc/@18.6729311,73.7953504,14z/data=!4m10!1m2!2m1!1sgeneral+physician+in+Chikhali!3m6!1s0x3bc2b749925ce139:0xbeec902c1c06ab76!8m2!3d18.6617403!4d73.8284289!15sCh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBDaGlraGFsaVofIh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBjaGlraGFsaZIBDWRpYWJldG9sb2dpc3TgAQA!16s%2Fg%2F11qh32pxpn?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Jeevan Clinic,general physician,Chikhali,,4.9,112,"Newale Vasti Rd, opp. to Siddhi College of Pharmacy Main gate, Vitthal Nagar, Newale Wasti, Chikhali, Pune, Pimpri-Chinchwad, Maharashtra 411062",088889 72299,google_maps,N/A,18.6746942,73.8070846,N/A,"https://www.google.com/maps/place/Jeevan+Clinic/@18.6746942,73.7710357,14z/data=!4m10!1m2!2m1!1sgeneral+physician+in+Chikhali!3m6!1s0x3bc2b716d9b9a2b7:0x840b6da90aa122f7!8m2!3d18.6746942!4d73.8070846!15sCh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBDaGlraGFsaVofIh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBjaGlraGFsaZIBBmRvY3RvcuABAA!16s%2Fg%2F11kcb6fk8v?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. VISPUTE (Home Visit Doctor) & CLINIC,general physician,Chikhali,,5.0,82,"Shop no 4, parshwa platinum, Pingale Rd, Vitthal Nagar, Chikhali, Pimpri-Chinchwad, Maharashtra 411062",070203 31131,google_maps,http://www.drvisputehomevisit.com/,18.6801465,73.8082023,N/A,"https://www.google.com/maps/place/Dr.+VISPUTE+(Home+Visit+Doctor)+%26+CLINIC/@18.6746942,73.7710357,14z/data=!4m10!1m2!2m1!1sgeneral+physician+in+Chikhali!3m6!1s0x3bc2b777ec909b35:0xabf8359ea446f735!8m2!3d18.6801465!4d73.8082023!15sCh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBDaGlraGFsaVofIh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBjaGlraGFsaZIBFGdlbmVyYWxfcHJhY3RpdGlvbmVy4AEA!16s%2Fg%2F11vbyrj319?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Cough Clinic Chinchwad,general physician,Chikhali,,4.8,26,"shop no 006, polite harmony, near Sane chowk, Nair Colony, More Vasti, Chikhali, Pimpri-Chinchwad, Pune, Maharashtra 411062",074482 47248,google_maps,N/A,18.6720545,73.8001717,N/A,"https://www.google.com/maps/place/Cough+Clinic+Chinchwad/@18.6746942,73.7710357,14z/data=!4m10!1m2!2m1!1sgeneral+physician+in+Chikhali!3m6!1s0x3bc2b726a7cd3631:0x39b6c6d92832cdd3!8m2!3d18.6720545!4d73.8001717!15sCh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBDaGlraGFsaVofIh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBjaGlraGFsaZIBBmRvY3RvcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNdE9WOUVUMHQzRUFF4AEA-gEECAAQIA!16s%2Fg%2F11tk052k3w?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Prashant Ramdas Khedkar- General Physician In Pune,general physician,Chikhali,,5.0,3,"Goodwill Clinic, Chikhali Akurdi Rd, Vitthal Nagar, Ramdas Nagar, Chikhali, Pimpri-Chinchwad, Maharashtra 411062",070575 72710,google_maps,https://drprashantramdaskhedkar.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu,18.6831431,73.8117409,N/A,"https://www.google.com/maps/place/Dr.+Prashant+Ramdas+Khedkar-+General+Physician+In+Pune/@18.6746942,73.7710357,14z/data=!4m10!1m2!2m1!1sgeneral+physician+in+Chikhali!3m6!1s0x3bc2b74a921520e7:0xdcddb05e69a5158b!8m2!3d18.6831431!4d73.8117409!15sCh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBDaGlraGFsaZIBFGdlbmVyYWxfcHJhY3RpdGlvbmVy4AEA!16s%2Fg%2F11rphqwgts?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Pulse Clinic,general physician,Chikhali,,5.0,11,"Shop 10, Ganesh Siddhi Society, Vitthal Nagar, Newale Wasti, Chikhali, Pune, Pimpri-Chinchwad, Maharashtra 411062",072193 35323,google_maps,N/A,18.6763695,73.8096764,N/A,"https://www.google.com/maps/place/Pulse+Clinic/@18.6746942,73.7710357,14z/data=!4m10!1m2!2m1!1sgeneral+physician+in+Chikhali!3m6!1s0x3bc2b727587ea797:0x86ec67d86449569a!8m2!3d18.6763695!4d73.8096764!15sCh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBDaGlraGFsaVofIh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBjaGlraGFsaZIBBmRvY3RvcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQydG9TVmRxU2s5bGFteFdUakZhVG1KSGRHRmFNMXBLWlVkNFRGSkZSUkFC4AEA-gEECHYQRQ!16s%2Fg%2F11z15__8dc?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Vishwajeet Gaikwad MBBS MD (medicine) Consultant Physician Diabetologist Thyroid Specialist Sunshine speciality clinic,general physician,Chikhali,,5.0,812,"River Residency Rd, near city pride school, Jadhav Wadi, Moshi, Pune, Pimpri-Chinchwad, Maharashtra 411062",091290 79292,google_maps,https://www.drvishwajeetgaikwad.in/,18.6819436,73.8297306,N/A,"https://www.google.com/maps/place/Dr.+Vishwajeet+Gaikwad+MBBS+MD+(medicine)+Consultant+Physician+Diabetologist+Thyroid+Specialist+Sunshine+speciality+clinic/@18.6819436,73.7936817,14z/data=!4m10!1m2!2m1!1sgeneral+physician+in+Chikhali!3m6!1s0x3bc2b7cf2e4142b3:0x7e0784b93e17bcb6!8m2!3d18.6819436!4d73.8297306!15sCh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBDaGlraGFsaVofIh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBjaGlraGFsaZIBDm1lZGljYWxfY2xpbmlj4AEA!16s%2Fg%2F11qg3km7hd?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
MANGALAM CLINIC,general physician,Chikhali,,4.9,67,"Shop no 103, 1st floor, swastik spira residency, River Residency Rd, above Chandan medical, Jadhav Wadi, Chikhali, Pimpri-Chinchwad, Pune, Maharashtra 411062",091316 34200,google_maps,N/A,18.6833819,73.8299017,N/A,"https://www.google.com/maps/place/MANGALAM+CLINIC/@18.6819436,73.7936817,14z/data=!4m10!1m2!2m1!1sgeneral+physician+in+Chikhali!3m6!1s0x3bc2b74b9ddd1575:0xb86c888e60fda4af!8m2!3d18.6833819!4d73.8299017!15sCh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBDaGlraGFsaVofIh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBjaGlraGFsaZIBBmRvY3RvcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOQ2VtRlRkeTFCUlJBQuABAPoBBAgAEEU!16s%2Fg%2F11p_5t0vpw?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
General Physician &surgeon Skin Care (Dhanawantri clinic),general physician,Chikhali,,4.9,13,"3/101, Chikhali Akurdi Rd, Vitthal Nagar, Newale Wasti, Chikhali, Pimpri-Chinchwad, Maharashtra 411062",N/A,google_maps,N/A,18.6756443,73.8066344,N/A,"https://www.google.com/maps/place/General+Physician+%26surgeon+Skin+Care+(Dhanawantri+clinic)/@18.6756443,73.7705855,14z/data=!4m10!1m2!2m1!1sgeneral+physician+in+Chikhali!3m6!1s0x3bc2b7000fd07975:0x2a52c495f5a8bb1f!8m2!3d18.6756443!4d73.8066344!15sCh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBDaGlraGFsaVofIh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBjaGlraGFsaZIBDm1lZGljYWxfY2xpbmljmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIxMFJWVldRbEpqUlVwNlUxZG9UMUpIVG5wV2JFb3lZVVZrY1dWdFl4QULgAQD6AQQIIxA3!16s%2Fg%2F11mdwrv78x?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Dr Rizwan Malik - MD Diabetologist, Heart Specialist, Thyroid Doctor, Rheumatologist in Moshi, Chikhali, Pune",general physician,Chikhali,,4.9,188,"G.No:195, DP Rd, next to Saheel Fortune Park, Phase 1, Jadhav Wadi, Moshi, Pune, Pimpri-Chinchwad, Maharashtra 411070",082370 02957,google_maps,https://drrizwanmalik.com/,18.6783878,73.8334655,N/A,"https://www.google.com/maps/place/Dr+Rizwan+Malik+-+MD+Diabetologist,+Heart+Specialist,+Thyroid+Doctor,+Rheumatologist+in+Moshi,+Chikhali,+Pune/@18.6783878,73.7974166,14z/data=!4m10!1m2!2m1!1sgeneral+physician+in+Chikhali!3m6!1s0x3bc2b772f32d7025:0x1ee8ce152343a3d3!8m2!3d18.6783878!4d73.8334655!15sCh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBDaGlraGFsaVofIh1nZW5lcmFsIHBoeXNpY2lhbiBpbiBjaGlraGFsaZIBDWRpYWJldG9sb2dpc3SaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUk9Na2xtYjFWQkVBReABAPoBBAhwED0!16s%2Fg%2F11tpb5gkm4?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
