name,specialty,city,area,stars,reviews,address,phone,phone_source,website,latitude,longitude,distance_km,maps_url
AAROHI CLINIC- Dr. Prakash Bikkad MBBS Diabetologist,endocrinologist,Chikhali,Chikhali,5.0,172,"Silver Central Mall, Shram Safaly Cooperate Society, Jadhav Wadi, Chikhali, Pimpri-Chinchwad, Maharashtra 411062",096372 00300,google_maps,N/A,18.6681632,73.8291741,3.24,"https://www.google.com/maps/place/AAROHI+CLINIC-+Dr.+Prakash+Bikkad+MBBS+Diabetologist/@18.6681632,73.6849785,12z/data=!4m10!1m2!2m1!1sendocrinologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b78ba554345f:0x7f79c57eaad0a5fd!8m2!3d18.6681632!4d73.8291741!15sCiRlbmRvY3Jpbm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkZW5kb2NyaW5vbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgENZGlhYmV0b2xvZ2lzdJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOd2FWbDJNalZuUlJBQuABAPoBBAgAEEc!16s%2Fg%2F11r_cpwx78?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
GOVERDHAN CARDIODIABETIC CLINIC,endocrinologist,Chikhali,Chikhali,4.9,270,"Shop no 1, Rama Parkland, DP Road, Shiv Rd, near Rama Barcode, Aher, Chikhali, Borhadewadi, Pune, Maharashtra 412105",078358 91535,google_maps,N/A,18.6758974,73.833498,4.18,"https://www.google.com/maps/place/GOVERDHAN+CARDIODIABETIC+CLINIC/@18.6681632,73.6849785,12z/data=!4m10!1m2!2m1!1sendocrinologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b7308ac56483:0xbd76ba038fa0168f!8m2!3d18.6758974!4d73.833498!15sCiRlbmRvY3Jpbm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkZW5kb2NyaW5vbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgENZGlhYmV0b2xvZ2lzdOABAA!16s%2Fg%2F11srgd4hkg?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Charushila Dhole,endocrinologist,Chikhali,Chikhali,4.9,388,"ADITYA BIRLA MEMORIAL HOSPITAL, Aditya Birla Marg, Thergaon, Pimpri-Chinchwad, Maharashtra 411033",094204 47643,google_maps,https://www.charuendocare.in/,18.6246566,73.774804,4.28,"https://www.google.com/maps/place/Dr.+Charushila+Dhole/@18.6681632,73.6849785,12z/data=!4m10!1m2!2m1!1sendocrinologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b9c0e7df06f7:0xef37aea26a175ef!8m2!3d18.6246566!4d73.774804!15sCiRlbmRvY3Jpbm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkZW5kb2NyaW5vbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgEPZW5kb2NyaW5vbG9naXN0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5hTmpoeVozaFJSUkFC4AEA-gEFCIUBEEQ!16s%2Fg%2F11ty0y2tnd?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Dr Rizwan Malik - MD Diabetologist, Heart Specialist, Thyroid Doctor, Rheumatologist in Moshi, Chikhali, Pune",endocrinologist,Chikhali,Chikhali,4.9,188,"G.No:195, DP Rd, next to Saheel Fortune Park, Phase 1, Jadhav Wadi, Moshi, Pune, Pimpri-Chinchwad, Maharashtra 411070",082370 02957,google_maps,https://drrizwanmalik.com/,18.6783878,73.8334655,4.39,"https://www.google.com/maps/place/Dr+Rizwan+Malik+-+MD+Diabetologist,+Heart+Specialist,+Thyroid+Doctor,+Rheumatologist+in+Moshi,+Chikhali,+Pune/@18.6681632,73.6849785,12z/data=!4m10!1m2!2m1!1sendocrinologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b772f32d7025:0x1ee8ce152343a3d3!8m2!3d18.6783878!4d73.8334655!15sCiRlbmRvY3Jpbm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkZW5kb2NyaW5vbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgENZGlhYmV0b2xvZ2lzdJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VST2IzWkxaVVJuRUFF4AEA-gEECDAQPA!16s%2Fg%2F11tpb5gkm4?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Dr. Sajal Kamat's Diabetes, Thyroid and Hormone Care/ Best Endocrinologist - Diabetologist in PCMC/Pune",endocrinologist,Chikhali,Chikhali,4.9,41,"First Floor, Shop, B, JRJ2+CR, Geras Imperium Oasis, 111, Morewadi, Pimpri Colony, Pune, Maharashtra 411018",072495 45606,google_maps,N/A,18.6310625,73.8020625,1.92,"https://www.google.com/maps/place/Dr.+Sajal+Kamat's+Diabetes,+Thyroid+and+Hormone+Care%2F+Best+Endocrinologist+-+Diabetologist+in+PCMC%2FPune/@18.6681632,73.6849785,12z/data=!4m10!1m2!2m1!1sendocrinologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b93a9dd88e99:0xffab663bb24e0b5d!8m2!3d18.6310625!4d73.8020625!15sCiRlbmRvY3Jpbm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkZW5kb2NyaW5vbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgEPZW5kb2NyaW5vbG9naXN0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5LZFU1dGJrOUJFQUXgAQD6AQQIexBB!16s%2Fg%2F11sv000ppb?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Dr. Rahul Gaikwad-MBBS MD MEDICINE|Best Diabetologist,Physician Cardiologist,Thyroid Specialist In Moshi,Chikhali,Alandi Pcmc",endocrinologist,Chikhali,Chikhali,4.9,269,"Suman Multispecialty Hospital and ICU, Plot No. 125, Near Spine Rd , Gold Gym Chowk, Moshi Chikhali Pradhikaran, Moshi High Street Link Rd, near MNGL CNG Pump, Sector 13, Chikhali, Pimpri-Chinchwad, Maharashtra 411019",080 4807 4535,google_maps,http://www.drrahulgaikwad.com/,18.6617403,73.8284289,2.72,"https://www.google.com/maps/place/Dr.+Rahul+Gaikwad-MBBS+MD+MEDICINE%7CBest+Diabetologist,Physician+Cardiologist,Thyroid+Specialist+In+Moshi,Chikhali,Alandi+Pcmc/@18.6681632,73.6849785,12z/data=!4m10!1m2!2m1!1sendocrinologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b749925ce139:0xbeec902c1c06ab76!8m2!3d18.6617403!4d73.8284289!15sCiRlbmRvY3Jpbm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkZW5kb2NyaW5vbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgENZGlhYmV0b2xvZ2lzdOABAA!16s%2Fg%2F11qh32pxpn?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Supreme Clinic-Best Diabetologist in Akurdi-Best Diabetes Centre in Akurdi-Best Diabetes Centre,endocrinologist,Chikhali,Chikhali,4.8,1594,"Rushabh Corner, Plot 29, Shri Mhalsakant Vidyalaya Rd, Sector No. 28, Pradhikaran, Nigdi, Pimpri-Chinchwad, Maharashtra 411044",099234 62661,google_maps,http://www.supremeclinic.in/,18.6486689,73.7744775,3.47,"https://www.google.com/maps/place/Supreme+Clinic-Best+Diabetologist+in+Akurdi-Best+Diabetes+Centre+in+Akurdi-Best+Diabetes+Centre/@18.6681632,73.6849785,12z/data=!4m10!1m2!2m1!1sendocrinologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b9c3289d52d3:0xcf1c7906a7ac5eb8!8m2!3d18.6486689!4d73.7744775!15sCiRlbmRvY3Jpbm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkZW5kb2NyaW5vbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgENZGlhYmV0b2xvZ2lzdJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOc2R6UlVja0ozRUFF4AEA-gEECDAQOw!16s%2Fg%2F11c1v0_nx1?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Vishwajeet Gaikwad MBBS MD (medicine) Consultant Physician Diabetologist Thyroid Specialist Sunshine speciality clinic,endocrinologist,Chikhali,Chikhali,5.0,812,"River Residency Rd, near city pride school, Jadhav Wadi, Moshi, Pune, Pimpri-Chinchwad, Maharashtra 411062",091290 79292,google_maps,https://www.drvishwajeetgaikwad.in/,18.6819436,73.8297306,4.49,"https://www.google.com/maps/place/Dr.+Vishwajeet+Gaikwad+MBBS+MD+(medicine)+Consultant+Physician+Diabetologist+Thyroid+Specialist+Sunshine+speciality+clinic/@18.6681632,73.6849785,12z/data=!4m10!1m2!2m1!1sendocrinologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b7cf2e4142b3:0x7e0784b93e17bcb6!8m2!3d18.6819436!4d73.8297306!15sCiRlbmRvY3Jpbm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkZW5kb2NyaW5vbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgEObWVkaWNhbF9jbGluaWPgAQA!16s%2Fg%2F11qg3km7hd?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Abhishek Karmalkar | General Physician In Pimpri | Diabetologist In Pimpri Chinchwad | Intensivist In Pimpri Chinchwad,endocrinologist,Chikhali,Chikhali,4.9,480,"1st Floor, above Suman Supermarket, behind Kundan Hyundai Showroom, Premsadan Housing Society, Ajantha Nagar, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019",091684 93902,google_maps,https://www.drkarmalkar.com/,18.6625171,73.7924639,2.29,"https://www.google.com/maps/place/Dr.+Abhishek+Karmalkar+%7C+General+Physician+In+Pimpri+%7C+Diabetologist+In+Pimpri+Chinchwad+%7C+Intensivist+In+Pimpri+Chinchwad/@18.6681632,73.6849785,12z/data=!4m10!1m2!2m1!1sendocrinologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b73b3a220567:0x61ded5e7df4dcbb9!8m2!3d18.6625171!4d73.7924639!15sCiRlbmRvY3Jpbm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkZW5kb2NyaW5vbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgENZGlhYmV0b2xvZ2lzdJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMW9jRk5IZUZkWmJIQnJZMFZaZDJKcVVrWllNbHBTWWxWS1VWTklZeEFC4AEA-gEECEEQQg!16s%2Fg%2F11gzqqd9yl?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Dr Sadiq Yunus Mulla DrNB, Endocrinologist and Diabetologist, Medicover Hospitals",endocrinologist,Chikhali,Chikhali,5.0,2,"Sector No: 1, Indrayani Nagar Rd, beside Union Bank of India, Sector No. 1, Bhosari, Pimpri-Chinchwad, Pune, Maharashtra 411026",040 6833 4455,google_maps,https://www.medicoverhospitals.in/doctors/dr-sadiq-yunus-mulla?utm_source=google&utm_medium=organic&utm_campaign=gmb-dr-sadiq-yunus-mulla,18.6344181,73.8461345,4.34,"https://www.google.com/maps/place/Dr+Sadiq+Yunus+Mulla+DrNB,+Endocrinologist+and+Diabetologist,+Medicover+Hospitals/@18.6681632,73.6849785,12z/data=!4m10!1m2!2m1!1sendocrinologist+in+Chikhali+Chikhali!3m6!1s0x3bc2c72e127b5107:0x7e80fe7595fb266b!8m2!3d18.6344181!4d73.8461345!15sCiRlbmRvY3Jpbm9sb2dpc3QgaW4gQ2hpa2hhbGkgQ2hpa2hhbGlaJiIkZW5kb2NyaW5vbG9naXN0IGluIGNoaWtoYWxpIGNoaWtoYWxpkgEPZW5kb2NyaW5vbG9naXN0mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIxMFJVOVdXakJUUlhONVRrVXhlVnBxU25oa2F6Vk9ZVWhWZDFOSFl4QULgAQD6AQQIMhA5!16s%2Fg%2F11yzl113hb?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
