name,specialty,city,area,stars,reviews,address,phone,phone_source,website,latitude,longitude,distance_km,maps_url
Dr.Aage Neuro Care Center,neurologist,Chikhali,Chikhali,4.9,66,"Shiv Road, Yugankur Health Care Shop no. 07 Shankeshwar Pride Chikhali-Moshi, SK Garden Galli, Borhadewadi, Moshi, Pune, Maharashtra 412105",086928 24010,google_maps,https://draageneurocarecenter.edgelinktechnology.in/,18.6723881,73.8317721,3.77,"https://www.google.com/maps/place/Dr.Aage+Neuro+Care+Center/@18.6723881,73.6875765,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b95533249001:0x92373f5d36e5531b!8m2!3d18.6723881!4d73.8317721!15sCiBuZXVyb2xvZ2lzdCBpbiBDaGlraGFsaSBDaGlraGFsaVoiIiBuZXVyb2xvZ2lzdCBpbiBjaGlraGFsaSBjaGlraGFsaZIBDG5ldXJvc3VyZ2VvbuABAA!16s%2Fg%2F11xf_m41_9?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr Pratik Babel’s Neurology Clinic | EEG NCV EMG VEP BERA | Neurologist,neurologist,Chikhali,Chikhali,5.0,20,"1st floor, Silver Central Commercial, Shram Safaly Cooperate Society, Jadhavwadi Chikhali, Moshi, Pimpri-Chinchwad, Maharashtra 411062",089839 97094,google_maps,https://serenitycardioneurowellness.in/,18.6681773,73.8290772,3.23,"https://www.google.com/maps/place/Dr+Pratik+Babel%E2%80%99s+Neurology+Clinic+%7C+EEG+NCV+EMG+VEP+BERA+%7C+Neurologist/@18.6723881,73.6875765,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b748141466b7:0x4e9b305b78b08da!8m2!3d18.6681773!4d73.8290772!15sCiBuZXVyb2xvZ2lzdCBpbiBDaGlraGFsaSBDaGlraGFsaVoiIiBuZXVyb2xvZ2lzdCBpbiBjaGlraGFsaSBjaGlraGFsaZIBC25ldXJvbG9naXN0mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4Q2VFNUVWVEphYkRsVFZGZFNRMUl5VWsxVFYyeGFaRmRuTUdNeVl4QULgAQD6AQQIABA-!16s%2Fg%2F11x_cl8c44?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
BRIX NEURO SPINE CENTER,neurologist,Chikhali,Chikhali,4.9,205,"Plot no. GP 185 & 186, OFFICE 221, Second Floor, KOHINOOR MAJESTIC, Chinchwad, PCMC, Haweli, Maharashtra 411019",095959 52154,google_maps,https://www.brixneuro.com/,18.6623877,73.7924858,2.27,"https://www.google.com/maps/place/BRIX+NEURO+SPINE+CENTER/@18.6723881,73.6875765,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b77fd8661f15:0xd4906f96278483f2!8m2!3d18.6623877!4d73.7924858!15sCiBuZXVyb2xvZ2lzdCBpbiBDaGlraGFsaSBDaGlraGFsaVoiIiBuZXVyb2xvZ2lzdCBpbiBjaGlraGFsaSBjaGlraGFsaZIBDG5ldXJvc3VyZ2VvbuABAA!16s%2Fg%2F11gdjpml04?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Neuronest Superspeciality Hospital and Trauma Centre,neurologist,Chikhali,Chikhali,4.9,301,"Fifth floor, central building, Kamalraj Datta Vihar Society, Dehu - Moshi Rd, near PRIYADARSHANI SCHOOL, MIDC, Moshi, Pune, Pimpri-Chinchwad, Maharashtra 411070",098757 50606,google_maps,http://www.neuronesthospital.com/,18.6796198,73.8350002,4.6,"https://www.google.com/maps/place/Neuronest+Superspeciality+Hospital+and+Trauma+Centre/@18.6723881,73.6875765,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b74cd980abb5:0xbc181a5677b5b35c!8m2!3d18.6796198!4d73.8350002!15sCiBuZXVyb2xvZ2lzdCBpbiBDaGlraGFsaSBDaGlraGFsaVoiIiBuZXVyb2xvZ2lzdCBpbiBjaGlraGFsaSBjaGlraGFsaZIBDG5ldXJvc3VyZ2VvbuABAA!16s%2Fg%2F11vp_bv9rs?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Auctus Spine Neuro Hospital,neurologist,Chikhali,Chikhali,4.7,77,"Laxmi Chowk, MIDC, Moshi, Pimpri-Chinchwad, Maharashtra 411070",099606 10996,google_maps,https://auctusspineneurohospital.com/,18.6797812,73.8338748,4.54,"https://www.google.com/maps/place/Auctus+Spine+Neuro+Hospital/@18.6723881,73.6875765,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b7124e833f61:0x7b75eb79624108d7!8m2!3d18.6797812!4d73.8338748!15sCiBuZXVyb2xvZ2lzdCBpbiBDaGlraGFsaSBDaGlraGFsaVoiIiBuZXVyb2xvZ2lzdCBpbiBjaGlraGFsaSBjaGlraGFsaZIBCGhvc3BpdGFs4AEA!16s%2Fg%2F11sjcwv4q0?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr Pande's Neuro and Physio Clinic,neurologist,Chikhali,Chikhali,4.3,91,"survey no 180/1, office no 112/113, 1st floor, mayur samruddhi, E wing, Akurdi, Pune, Maharashtra 411035",074474 10088,google_maps,N/A,18.650541,73.7805118,2.85,"https://www.google.com/maps/place/Dr+Pande's+Neuro+and+Physio+Clinic/@18.6723881,73.6875765,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b9dca307c6d3:0x74b3574e4ca26eda!8m2!3d18.650541!4d73.7805118!15sCiBuZXVyb2xvZ2lzdCBpbiBDaGlraGFsaSBDaGlraGFsaVoiIiBuZXVyb2xvZ2lzdCBpbiBjaGlraGFsaSBjaGlraGFsaZIBC25ldXJvbG9naXN0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU4xYldWbFlXcDNSUkFC4AEA-gEECAAQJg!16s%2Fg%2F11hb585v6n?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Bhagirath P. More - Neurosurgeon in PCMC | Spine and Brain Specialist in Pune,neurologist,Chikhali,Chikhali,5.0,282,"OZONE superspeciality hospital, beside gharonda hotel, Morewadi, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018",098798 88192,google_maps,N/A,18.6322048,73.8034204,1.76,"https://www.google.com/maps/place/Dr.+Bhagirath+P.+More+-+Neurosurgeon+in+PCMC+%7C+Spine+and+Brain+Specialist+in+Pune/@18.6723881,73.6875765,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b9f9c3a71327:0x22911324ad4fa48c!8m2!3d18.6322048!4d73.8034204!15sCiBuZXVyb2xvZ2lzdCBpbiBDaGlraGFsaSBDaGlraGFsaVoiIiBuZXVyb2xvZ2lzdCBpbiBjaGlraGFsaSBjaGlraGFsaZIBDG5ldXJvc3VyZ2VvbuABAA!16s%2Fg%2F11hz18td8m?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Cortex child neurology center,neurologist,Chikhali,Chikhali,4.9,144,"Gera imperium oasis, A 309, near bank of maharashtra, Morewadi, chowk, Pimpri-Chinchwad, Maharashtra 411018",097642 81444,google_maps,N/A,18.631123,73.8021388,1.91,"https://www.google.com/maps/place/Cortex+child+neurology+center/@18.6723881,73.6875765,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b9422a74c855:0xf24cf99f3996f1bd!8m2!3d18.631123!4d73.8021388!15sCiBuZXVyb2xvZ2lzdCBpbiBDaGlraGFsaSBDaGlraGFsaVoiIiBuZXVyb2xvZ2lzdCBpbiBjaGlraGFsaSBjaGlraGFsaZIBCGhvc3BpdGFsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU4yTkRrdFUwdEJFQUXgAQD6AQQIWhBA!16s%2Fg%2F11f62mh85q?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Jeevan Clinic,neurologist,Chikhali,Chikhali,4.9,112,"Newale Vasti Rd, opp. to Siddhi College of Pharmacy Main gate, Vitthal Nagar, Newale Wasti, Chikhali, Pune, Pimpri-Chinchwad, Maharashtra 411062",088889 72299,google_maps,N/A,18.6746942,73.8070846,3.01,"https://www.google.com/maps/place/Jeevan+Clinic/@18.6723881,73.6875765,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b716d9b9a2b7:0x840b6da90aa122f7!8m2!3d18.6746942!4d73.8070846!15sCiBuZXVyb2xvZ2lzdCBpbiBDaGlraGFsaSBDaGlraGFsaVoiIiBuZXVyb2xvZ2lzdCBpbiBjaGlraGFsaSBjaGlraGFsaZIBBmRvY3RvcuABAA!16s%2Fg%2F11kcb6fk8v?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Trimurti Brain and Spine Care,neurologist,Chikhali,Chikhali,N/A,N/A,"Shop no. 302, 3rd floor, D Wing, SAHYADRI SHRUBERRY, Borhade Wadi, Moshi, Pimpri-Chinchwad, Maharashtra 411070",N/A,google_maps,N/A,18.6724669,73.8314951,3.75,"https://www.google.com/maps/place/Trimurti+Brain+and+Spine+Care/@18.6723881,73.6875765,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b7b68d6a620f:0xa6da8e115db5ca3c!8m2!3d18.6724669!4d73.8314951!15sCiBuZXVyb2xvZ2lzdCBpbiBDaGlraGFsaSBDaGlraGFsaZIBDG5ldXJvc3VyZ2VvbuABAA!16s%2Fg%2F11yqzqcn8f?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Imperial Multi Speciality Hospital,neurologist,Chikhali,Chikhali,4.6,1754,"Gat No. 1193, Pingale Pride, Pingale Rd, near Radha Swami Ashram, Vitthal Nagar, Chikhali, Pune, Pimpri-Chinchwad, Maharashtra 411062",020 3503 1500,google_maps,https://imperialhospitals.in/,18.6809559,73.8080065,3.71,"https://www.google.com/maps/place/Imperial+Multi+Speciality+Hospital/@18.6723881,73.6875765,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b7104bdbfd81:0xc29c3a9571068d8e!8m2!3d18.6809559!4d73.8080065!15sCiBuZXVyb2xvZ2lzdCBpbiBDaGlraGFsaSBDaGlraGFsaVoiIiBuZXVyb2xvZ2lzdCBpbiBjaGlraGFsaSBjaGlraGFsaZIBCGhvc3BpdGFs4AEA!16s%2Fg%2F11n0n4tg_p?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Chetna Patil | Neurologist in Wakad Pune,neurologist,Chikhali,Chikhali,4.8,246,"Shop No. 115, 1st Floor, WESTWOOD ESTATES, opp. Mont Vert Tropez Road, Kaspate Wasti, Wakad, Pimpri-Chinchwad, Maharashtra 411057",080108 66994,google_maps,http://drchetnapatil.com/,18.594577,73.7686549,7.17,"https://www.google.com/maps/place/Dr.+Chetna+Patil+%7C+Neurologist+in+Wakad+Pune/@18.6723881,73.6875765,12z/data=!3m1!5s0x3bc2b97755077be1:0xd8dee71ede2d893d!4m10!1m2!2m1!1sneurologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b96b0c7d2acd:0xc607ae7c3d7a55b1!8m2!3d18.594577!4d73.7686549!15sCiBuZXVyb2xvZ2lzdCBpbiBDaGlraGFsaSBDaGlraGFsaVoiIiBuZXVyb2xvZ2lzdCBpbiBjaGlraGFsaSBjaGlraGFsaZIBC25ldXJvbG9naXN04AEA!16s%2Fg%2F11vhr5xvhq?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Moshi Multispeciality Hospital,neurologist,Chikhali,Chikhali,4.6,273,"besides bhart petrol pump, Dehu - Alandi Rd, in front of D-Mart, MIDC, Moshi, Pune, Pimpri-Chinchwad, Maharashtra 412105",077988 13085,google_maps,https://moshihospital.co.in/,18.6794676,73.8372317,4.74,"https://www.google.com/maps/place/Moshi+Multispeciality+Hospital/@18.6723881,73.6875765,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b70fd13a96cd:0x99cd94900a11a0de!8m2!3d18.6794676!4d73.8372317!15sCiBuZXVyb2xvZ2lzdCBpbiBDaGlraGFsaSBDaGlraGFsaVoiIiBuZXVyb2xvZ2lzdCBpbiBjaGlraGFsaSBjaGlraGFsaZIBCGhvc3BpdGFs4AEA!16s%2Fg%2F11q84w_t35?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Hi-Tech sports physiotherapy & paralysis center,moshi,pune",neurologist,Chikhali,Chikhali,4.9,34,"opposite Silver Central Mall, Jadhav Wadi, Chikhali, moshi, Pimpri-Chinchwad, Maharashtra 411070",098706 55969,google_maps,N/A,18.6684015,73.8297991,3.3,"https://www.google.com/maps/place/Hi-Tech+sports+physiotherapy+%26+paralysis+center,moshi,pune/@18.6723881,73.6875765,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b741ad27eb6d:0x4200872bd8b395d4!8m2!3d18.6684015!4d73.8297991!15sCiBuZXVyb2xvZ2lzdCBpbiBDaGlraGFsaSBDaGlraGFsaVoiIiBuZXVyb2xvZ2lzdCBpbiBjaGlraGFsaSBjaGlraGFsaZIBFHBoeXNpb3RoZXJhcHlfY2VudGVymgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJHZVhBM2JHUm5FQUXgAQD6AQUIhAEQSw!16s%2Fg%2F11tfb85t4w?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr Amit Wagh,neurologist,Chikhali,Chikhali,4.9,36,"Dr Amit Wagh,Star Hospital,Ground Floor,OPD1,Old Mumbai-Pune Highway Next To Kundan Palace,Akurdi,Pimpri, Chinchwad, Pune, Maharashtra 411035",080 4278 2197,google_maps,https://www.dramitwagh.com/,18.6518678,73.7834715,2.57,"https://www.google.com/maps/place/Dr+Amit+Wagh/@18.6723881,73.6875765,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b99766a0ce03:0x5058edd6c86a0362!8m2!3d18.6518678!4d73.7834715!15sCiBuZXVyb2xvZ2lzdCBpbiBDaGlraGFsaSBDaGlraGFsaVoiIiBuZXVyb2xvZ2lzdCBpbiBjaGlraGFsaSBjaGlraGFsaZIBDG5ldXJvc3VyZ2VvbuABAA!16s%2Fg%2F11s2l5l9nw?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Moon Multispeciality Hospital,neurologist,Chikhali,Chikhali,4.6,88,"Dehu - Alandi Rd, near Aksha Empire, Jadhav Wadi, Chikhali, Pune, Pimpri-Chinchwad, Maharashtra 411062",N/A,google_maps,N/A,18.6813763,73.8267163,4.27,"https://www.google.com/maps/place/Moon+Multispeciality+Hospital/@18.6723881,73.6875765,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b7a99bc155e7:0xcb06ccc7d65f6e17!8m2!3d18.6813763!4d73.8267163!15sCiBuZXVyb2xvZ2lzdCBpbiBDaGlraGFsaSBDaGlraGFsaVoiIiBuZXVyb2xvZ2lzdCBpbiBjaGlraGFsaSBjaGlraGFsaZIBCGhvc3BpdGFsmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF0ZEZCeU4zQlJSUkFC4AEA-gEECAAQLw!16s%2Fg%2F11qq4c18xc?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Jayant Gaud Neurosurgeon in PCMC,neurologist,Chikhali,Chikhali,5.0,19,"Hospital & Research Centre, DR. D Y PATIL MEDICAL COLLEGE, Opd No 13 Neurosurgery departemnt, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018",090825 52539,google_maps,https://id.vyaparify.com/jayant-gaud-brain-and-spine-surgeon,18.6232127,73.8216955,3.1,"https://www.google.com/maps/place/Dr.+Jayant+Gaud+Neurosurgeon+in+PCMC/@18.6723881,73.6875765,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b914340c220d:0x6689d3b5e483d477!8m2!3d18.6232127!4d73.8216955!15sCiBuZXVyb2xvZ2lzdCBpbiBDaGlraGFsaSBDaGlraGFsaVoiIiBuZXVyb2xvZ2lzdCBpbiBjaGlraGFsaSBjaGlraGFsaZIBDG5ldXJvc3VyZ2VvbuABAA!16s%2Fg%2F11yjhbt7tz?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Suman Multispecialty Hospital & ICU–Best Physician,Diabetologist,Cardiologist | Best Hospital in Moshi Chikhali PCMC Bhosari",neurologist,Chikhali,Chikhali,4.7,300,"Suman Multispecialty Hospital and ICU, Plot No. 125, Near Spine Rd , Gold Gym Chowk, Moshi Chikhali Pradhikaran, Moshi High Street Link Rd, near MNGL CNG Pump, Sector 13, Chikhali, Pimpri-Chinchwad, Maharashtra 411019",080 4803 8863,google_maps,https://www.sumanmultispecialityhospital.com/,18.6617103,73.8284331,2.72,"https://www.google.com/maps/place/Suman+Multispecialty+Hospital+%26+ICU%E2%80%93Best+Physician,Diabetologist,Cardiologist+%7C+Best+Hospital+in+Moshi+Chikhali+PCMC+Bhosari/@18.6723881,73.6875765,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b9172520646f:0x808d6c27c3897baf!8m2!3d18.6617103!4d73.8284331!15sCiBuZXVyb2xvZ2lzdCBpbiBDaGlraGFsaSBDaGlraGFsaVoiIiBuZXVyb2xvZ2lzdCBpbiBjaGlraGFsaSBjaGlraGFsaZIBCGhvc3BpdGFs4AEA!16s%2Fg%2F11wx0qktxt?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
