source,name,specialty,specialization,experience,city,area,stars,reviews,address,consultation_fee,phone,phone_source,website,latitude,longitude,distance_km,practo_url
practo,Dr. Swapnil K. Rachha,dentist,N/A,15 years,Pune,,N/A,N/A,"Kothrud,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,5.38,https://www.practo.com/pune/doctor/swapnil-k-rachha-dentist?practice_id=1131149&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Irshad Chaudary,dentist,N/A,16 years,Pune,,N/A,N/A,"Kharadi,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,9.77,https://www.practo.com/pune/doctor/dr-irshad-chaudary-dentist?practice_id=1123141&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Shubhra Misuriya,dentist,N/A,21 years,Pune,,N/A,N/A,"Hadapsar,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,9.09,https://www.practo.com/pune/doctor/dr-shubhra-misuriya-dentist?practice_id=663702&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Kaustubh Patil,dentist,N/A,17 years,Pune,,N/A,N/A,"FC Road,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,1.48,https://www.practo.com/pune/doctor/kaustubh-patil-2-dentist?practice_id=687171&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Vivek Singh Chauhan,dentist,N/A,21 years,Pune,,N/A,N/A,"Baner Road,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,8.02,https://www.practo.com/pune/doctor/dr-vivek-singh-chauhan-dentist-1?practice_id=684268&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Sachin Phadke,dentist,N/A,27 years,Pune,,N/A,N/A,"Paud Road,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,9.33,https://www.practo.com/pune/doctor/dr-sachin-phadke-dentist?practice_id=1142296&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Bharat Oswal,dentist,N/A,40 years,Pune,,N/A,N/A,"Camp,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,1.82,https://www.practo.com/pune/doctor/dr-bharat-oswal-dentist?practice_id=649076&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Gautami Phadke,dentist,N/A,28 years,Pune,,N/A,N/A,"Karve Nagar,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,4.98,https://www.practo.com/pune/doctor/dr-gautami-dentist?practice_id=649132&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Priyanka Bansal,dentist,N/A,17 years,Pune,,N/A,N/A,"Wakad,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,13.08,https://www.practo.com/pune/doctor/priyanka-bansal-dentist?practice_id=1011192&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Abhay Bhosale,dentist,N/A,16 years,Pune,,N/A,N/A,"Kharadi,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,9.77,https://www.practo.com/pune/doctor/dr-abhay-bhosale-dentist?practice_id=1272106&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Chetan Agarwal,dentist,N/A,15 years,Pune,,N/A,N/A,"Kharadi,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,9.77,https://www.practo.com/pune/doctor/dr-chetan-agarwal-dentist?practice_id=1123141&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Sandeep Bhirud,dentist,N/A,37 years,Pune,,N/A,N/A,"Pimpri-Chinchwad,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,13.12,https://www.practo.com/pune/doctor/dr-sandeep-bhirud-dentist?practice_id=662030&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Ganesh,dentist,N/A,17 years,Pune,,N/A,N/A,"Aundh,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,6.49,https://www.practo.com/pune/doctor/dr-ganesh-kamble?practice_id=1170946&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Jyoti Bhirud,dentist,N/A,31 years,Pune,,N/A,N/A,"Pimpri-Chinchwad,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,13.12,https://www.practo.com/pune/doctor/dr-jyoti-bhirud-dentist?practice_id=662030&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Priyanka Agrawal,dentist,N/A,21 years,Pune,,N/A,N/A,"Kalyani Nagar,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,5.87,https://www.practo.com/pune/doctor/dr-priyanka-agrawal-1?practice_id=745843&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Amit Thareja,dentist,N/A,22 years,Pune,,N/A,N/A,"Kalyani Nagar,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,5.87,https://www.practo.com/pune/doctor/dr-amit-thareja-dentist?practice_id=745843&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Rashmi Singh Chauhan,dentist,N/A,21 years,Pune,,N/A,N/A,"Baner Road,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,8.02,https://www.practo.com/pune/doctor/dr-rashmi-singh-chauhan-dentist?practice_id=684268&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Prashant Bhangale,dentist,N/A,27 years,Pune,,N/A,N/A,"Kothrud,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,5.38,https://www.practo.com/pune/doctor/dr-prashant-bhangale-dentist-1?practice_id=701708&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Shruti Santosh Digholkar,dentist,N/A,16 years,Pune,,N/A,N/A,"Wagholi,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,15.09,https://www.practo.com/pune/doctor/gawali-dentist?practice_id=1125184&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
practo,Dr. Neha A Agrawal,dentist,N/A,20 years,Pune,,N/A,N/A,"Wakad,, Pune",N/A,N/A,not_available,N/A,N/A,N/A,13.08,https://www.practo.com/pune/doctor/dr-neha-a-agrawal-1-dentist?practice_id=1181295&specialization=Dentist&referrer=doctor_listing&page_uid=c34caf30-27a1-44ad-8456-1e8f5a1ccd48
